"  MATTECH Commande ","Qte en pieds / metre","# bdc solatheque ","Date","Description","unité ","Réf: ","autre  ","Envoyé courriel Dom   ","PICK-UP ","","","","","",""
"","5379,2","0383-ET-330","03-10-2025","Dura Dot","10 rlx","","coul. Charcoal","TRUE","Rosedale","","","","","",""
"","2160","1370-ET-2","13-10-2025","Empire","6 rlx","","coul. Charcoal","TRUE","Granby","","","","","",""
"","720","1370-ET3","17-10-2025","Marathon","2 rlx","","coul. Charcoal","FALSE","","","","","","",""
"","5379,2","1370-ET-4","27-10-2025","Dura Dot","10 rlx","","coul. Charcoal","FALSE","","","","","","",""
"","2160","1370-ET-6","2-11-2025","Empire","6 rlx","","coul. Charcoal","FALSE","","","","","","",""
"","","1370-ET-7","","Dura Diot","10 rlx","24 nov.","coul. Charcoal","FALSE","Granby","","","","","",""
"","","1370-ET-8","21-11-2025","Dura Dot","10 rlx","","coul. Charcoal","FALSE","","","","","","",""
"","2689,6","1370-ET-9","27-11-2025","Hong Kong","5 rlx","28 nov.","coul. Charcoal","FALSE","","","","","","",""
"","537,92","1370-ET-10","27-11-2025","Hong Kong","1 rlx","27 nov.","coul. Charcoal","FALSE","","","","","","",""
"","2697,8","1370-ET-12","07-01-2026","Dura Dot","5 rlx","15 janv.","coul. Charcoal","TRUE","Granby","","","","","",""
