"1","FAC/DEVIS _ ASP_Réinstallation ","","","","","","","","","","",""," # Projet"," Noms"," Adresse","Ville","Date","Heures","Contact sur place","Code Postal","Commentaires - Printemps 2026","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","","","","","","","","","","Courriel","","Commentaires - Automne  2024","Détail des tapis","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","950","","5393","1307-ET","1001 Robert-Bourrassa","700, rue de la Gauchetière","Montréal","5 avril","8h-17h","","","semaine du 6 avril","Pas pu retirer tapis ascenseurs A,H,G,F,M,N,P,J hors d'usage car ils changent les panneaux de contrôle à l'intérieur.","","","","","FALSE","FALSE","","","FALSE","FALSE","FALSE","TRUE","FALSE","jcampbell@alliedreit.com","","reste 3 corridors des ascenseurs Guylaine doit commander des tapis","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  796 ","","1205-ET","Ordre des dentistes du Québec","800, boul. René Levesque O","Montréal","7 avril","12h-14h","","","","","","","","","FALSE","","","","","","TRUE","TRUE","FALSE","kim-lai.pham@odq.qc.ca","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","30","  1 235 ","","1319-ET","Club MAA","2070, rue Peel","Montréal","7 avril","14h30-17h30","","","Contact: Dolores Abreu 514-845-2233","Si possible, semaine du 7 avril entre 8h et 11h","","AJOUT POUR LE SERVICE D'ENTRETIEN(si possible sermaine du 15 avril)","","","","","","","","","TRUE","TRUE","TRUE","dabreu@clubsportifmaa.com;pblanchet@clubsportifmaa.com","","À FAIRE ENTRE 8h00 et 10h30","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","30","  234 ","","1331-ET","LDC Logistics","1002, rue Sherbrooke O., Suite 2000","Montréal","8 avril","12h-13h","","","","","","A FAIRE","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","okovalska@MetroSCG.com","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","20","  624 ","","1379-ET","Centre communautaire Greene ","1090, avenue Greene","Montréal","8 avril","14h-15h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","jason@centregreene.org","","","","","","","","","","","","","","","",""
"Bureau","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  360 ","638","1321-ET","Gestion Sandanna","1, Westmount Square, bureau 2000","Montréal","8 avril","15h30-17h30","","","","ENTRE 6H00 ET 7H00 LE MATIN (confirmé pour le 2 avril)","","à partir de 6h00 am","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","nbecot@peloquinkattan.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  630 ","","1283-ET","SDC La Tannerie","680 de Courcelle","Montréal","9 avril","12h-13h","","","","CODE D'ACCÈS:  01723","","","","","","","","","","","TRUE","TRUE","FALSE","SyndicatTannerie@in.condoweb.app;Gestion.lefite@in.condoweb.app","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  1 569 ","","","SDC Le William","1850, rue William","Montréal","9 avril","14h-17h","","","","","","","","","","","","","","","TRUE","TRUE","FALSE","jordan.guia@solutioncondo.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","120","  11 857 ","","1347-ET","Edifice SunLife (RDC)","1155, rue Metcalfe, Montréal","Montréal","7-8-9 avril","18-22h","","","Contact: Sécurité 514-917-5139                                                                      Deux cases du stationnement intérieur seront mises à disposition","NETTOYAGE ET ENTREPOSAGE DU RDC SEULEMENT","","","","","","","","","","","FALSE","TRUE","FALSE","lucie.richard@bgo.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","FALSE","FALSE","FALSE","50","  640 ","","1347-ET","Édifice SunLife  21e étage","1155, rue Metcalfe","Montréal","7-8-9 avril","18-22h","","","","","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","FALSE","","","4","","","FALSE","TRUE","FALSE","Lucie.Richard@bentallgreenoak.com","","","","","","","","","","","","","","","",""
