"P.O. 0383-ET-251","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL","","Roul #","Qté en PL"
"27 sept.","1","82","","2","82","","3","82","","4","82","","5","82","","6","82","","7","82","","8","82","","9","82","","10","82"
"","#10116-G","82","","#10146-G","82","","#10123-G","82","","#?","82","","","82","","","82","","","82","","","82","","","82","","","82"
"","1545 De l'Avenir","82","","Stanislas","61","","1801 Maisonneuve","82","","Édifice Expos","52","","SAX ","82","","Heritage","82","","Heritage","19","","418 St-Sulpice","28","","Algonquin","42","","7250 Marconi","19"
"","","0","","","21","","","0","","","30","","","0","","du plateau","0","","du plateau","63","","","54","","","40","","","63"
"","","","","#10123-G","21","","","","","SAX","22","","","","","","","","2100 Lévesque","57","","360 Atateken","54","","4647 Colonial","28","","256 Sherbrooke O","22"
"","","0","","1801 Maisonneuve","0","","","0","","","8","","","0","","","0","","","6","","","0","","","12","","","41"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cliique méd. Lacroix","26"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15"
"0383-ET-251","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","","","","","","","","","","","","","",""
"27 sept.","11","82","","12","82","","13","82","","14","82","","15","82","","","","","","","","","","","","","","",""
"","","82","","","82","","","82","","","82","","","82","","","","","","","","","","","","","","",""
"","ASP","82","","ASP","82","","ASP","82","","ASP","82","","Hexagone 1","72","","","","","","","","","","","","","","",""
"","","0","","","0","","","0","","","0","","","10","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Pointe-Claire","10","","","","","","","","","","","","","","",""
"","","0","","","0","","","0","","","0","","","0","","","","","","","","","","","","","","",""
"0383-ET-251a","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #",""
"18 nov.","16","82","","17","82","","18","82","","19","82","","20","82","","21","82","","22","82","","23","82","","24","82","","25","82"
"","","82","","","82","","","82","","","82","","","82","","","82","","","82","","","82","","","82","","","82"
"","La Tannerie","82","","La Tannerie","14","","Hexagone 2","54","","Lacroix","66","","Solano","82","","Solano","82","","Pointe-Claire","82","","Divers","82","","Montagne Verte","70","","Complexe GuyFavreau","65"
"","","0","","","68","","","28","","Boucherville","16","","","0","","","0","","","0","","","0","","","12","","","17"
"","","","","4500 Girouard","19","","SAX3","24","","","","","","","","","","","","","","","","","","","","",""
"","","0","","","49","","","4","","","16","","","0","","","0","","","0","","","0","","","12","","","17"
"","","","","Clinique Lacroix","29","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","20","","","","","","","","","","","","","","","","","","","","","","","",""
"0383-ET-251a","Roul #","","","Roul #","","","","","","","","","","","","","","","","","","","","","","","","",""
"18 nov.","26","82","","27","82","","","","","","","","","","","","","","","","","","","","","","","",""
"","","82","","","82","","","","","","","","","","","","","","","","","","","","","","","",""
"","","82","","","82","","","","","","","","","","","","","","","","","","","","","","","",""
"","","82","","","82","","","","","","","","","","","","","","","","","","","","","","","",""
"DESIGN SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0383-ET-259","Roul #","","","Roul #","","","","","","","","","","","","","","","","","","","","","","","","",""
"12 déc.","1","60","","2","60","","","","","","","","","","","","","","","","","","","","","","","",""
"","","60","","","60","","","","","","","","","","","","","","","","","","","","","","","",""
"","Axis Ligting","47","","Le Canal 2","55","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13","","","5","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13","","","5","","","","","","","","","","","","","","","","","","","","","","","",""
"NOVANOP","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0383-ET-260","Roul #","","","Roul #","","","Roul #","","","Roul #","","","Roul #","","","","","","","","","","","","","","","",""
"20 déc.","1","82","","2","82","","3","82","","4","82","","5","82","","","","","","","","","","","","","","",""
"","","82","","","82","","","82","","","82","","","82","","","","","","","","","","","","","","",""
"","12225 Grenet","82","","12225 Grenet","16","","Cours Outremont","82","","","","","","","","","","","","","","","","","","","","",""
"","","0","","","66","","","0","","","82","","","82","","","","","","","","","","","","","","",""
"","","","","Cours Outremont","42","","","","","","","","","","","","","","","","","","","","","","","",""
"","","0","","","24","","","0","","","82","","","82","","","","","","","","","","","","","","",""
"","","","","Palais de Justice","16","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","8","","","","","","","","","","","","","","","","","","","","","","","",""
