" ","Feuille de pose - plan","Courriel","Facture ASP","Date","","NO projet","Nom","Adresse","Contact","","Type de tapis ","no commande","Rouleau","Commentaires","","H/INS","MOULURE","TAPE","TAPE VERT","PC","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","",""
"","FALSE","FALSE","3119","20 mars","11h","10908-F","EMD Technologies","400 du Parc, St-Eustache","Stéphane Lalonde","","","33802","1","Pick-up Tapis Beaver","","5","","3","","","TRUE","","","","","",""
"","FALSE","FALSE","3120","25 mars","13h00","10914-F","SDC 6300 Northcrest","6300 ave Northcrest, Outremont","M. Paul","","","34153","1","Pick-up Tapis Beaver","","4","","2","","216","TRUE","","","","","",""
"","FALSE","FALSE","3121","27 mars","11h","10777-Q","Le 1420 BMR","1420, boulevard Mont-Royal","Mélissa Boyer","","","","","Aller installer le tapis dans l'ascenseur","","4","8","1","","50","FALSE","","","","","",""
"","FALSE","FALSE","3140","21 avril","8h00","10932-F","Polo Ralph Lauren","19001, chemin Notre-Dame, Mirabel","","","","","","","","4","","","","","TRUE","","","","","",""
"","TRUE","FALSE","3141","29 avril","16h","10944-Q","95 rue de l'Église, Longueuil","95 rue de l'Église, Longueuil","Raphael Dionne","","","Cambridge atelier","","","","4","35","2","","325","FALSE","","","","","",""
"","FALSE","FALSE","3183","23 mai","10h30","10771-F","Édifice Le Windsor","1170 Peel ","","","","35102","2","Tapis de Pluie  - Tapis Beaver","","","","","","","FALSE","","","","","",""
"","FALSE","FALSE","3185","25 avril","18h","","Édifice Le Windsor","1170 Peel ","","","","","","Tapis de Pluie Temporaire + réins tout sortie cypress","","","","","","510","FALSE","","","","","",""
"Condo","FALSE","FALSE","3203","6 juin","10h","10992-F","Le Sanctuaire,  phase 4","6111, du Boisé","","","","","","","","","","","","","FALSE","","","","","",""
"","TRUE","FALSE","3208","13 juin","11h-16h","10981-Q","Théâtre La Licorne","4559 Av. Papineau, Montréal, QC H2H 1V4","François Martel","","","","","pose avec de la colle","","8","20","","","790","FALSE","","","","","",""
"","FALSE","FALSE","3212","19 juin","10h","10991-F","Résidence Les Jardins Millen","10800, ave Millen, Ahuntsic","Sylvain Boucher","","","","","Prendre du du stock de Solatheque  (22'pl)","","4","9","","","144","TRUE","","","","","",""
"","TRUE","TRUE","3226","25 juin","9h-17h","10993-F","Centre Bell (Entrée des loges B et 9,4,10","1225, rue St-Antoine O, Montréal","Sylvain Plante","","","75592","","Pick-up Mattech","","12","6","10","","1167","TRUE","","","","","",""
