"","","","","Service ","","","","",""
"Retrait","Nettoyage ","Entreposage ","Transport","Réinstallation","Moulure  usagé","Transport extra + 2001PC","Rebus usagé ","Charte ",""
"0,30$ / PC","0,46$ / PC","0,40$ / PC","25$ / -2000 PC ","0,45$ / PC","1$ / PL","0,01$ / PC","0,33$ / Pc transport iclus ","Déplacement minimum ","500 Pc minimum A prevoir année futur "
"","","","","Neuf ","","","","",""
"Installation ","Transport ","Adhésif","Moulure neuve","Transport extra +2001PC","Rebus neuf ","Transport Mat Tech vinyle ","Transport Mat Tech Endos gel ","Charte ",""
"0,90$ / PC ","125$   /  -2000Pc","","1$ / PL ","0,01$ / PC","0,04$ / Pc ","250$ Max 4320Pc (12 Rouleaux) ","250$ Max 7980Pc (15Rouleaux) ","Déplacement minimum ","400PC = 360$  + 125$ / Transport "
"","","","","","","","","Calcule heure de travail : ","PC x 0,90$  / 90 = Heure ( apres 0,50h + 1 heure) "
"","","","","Camion usine ","","","","",""
"0 - 2000pc","2001 - 10 000pc","10 001 - 25 000pc","25 001 et +","","","","","Charte ",""
"0,25$ / PC","0,20$ / PC","0,17$ / Pc ","0,15$ / PC","","","","","Exclus : Prix sur demande ","escalier , meuble , carpette , portative "
"","","","","","","","","Déplacement minimum ","1000 PC =250$"
"","","","","","","","","Prix selon adresse / PC ","Même client / adresse multiple : prix a discuté"
"","","","","Camion usine tapis d'entrée  ","","","","",""
"0 - 500 pc","501 - 2000 PC","2001 - 5000 PC ","5001 et +","","","","","Charte ",""
"0,40$ / PC","0,30$ / PC","0,25$ / PC","0,20$ / PC","","","","","Prix selon adresse / PC ","Même client adresse multiple : prix a discuté"
"","","","","","","","","Déplacement minimum ","500Pc = 200$"
