" ","BLANC :  à confimer","","","","","","","","","","","","","BLEU : mettre à l'horaire","","VERT : courriel à envoyer","","","","GRIS : travail fait, à / ou facturé","","","","","","","","","","","","","","","NOUVEAU 2023","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"","FAC/DEVIS _ ASP_retrait","","","","","","","","","","","",""," # Projet"," Noms"," Adresse","Ville","","Heures","Contact sur les lieux ou code accès - stationnement remorque","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","Code Postal","","","","","","","","","","","Courriel","Détail des tapis","Fact #","","","","Ajustement à faire","Ajustement à faire 2020","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","","FALSE","TRUE","TRUE","","FALSE","FALSE","","  2 675 ","","1251-ET","Facility Tour Deloitte ","115 Saint-Antoine ","Montréal ","12 juillet","13-14h","Jean-Pierre  514 592 9119","INSTALLER LES TAPIS DE PLUIE 12 juillet 2024","Paul André Rivest qui assurait la coordination ne pourra plus le faire. Je serai votre point de contact pour le moment Soh Seppowo Martin Gabriel","5e ÉTAGE AVEC UN TAPE VERT *** plancher de pierre.  À FAIRE UN LUNDI OU VENDREDI À PARTIR DE 16H - RÉINSTALLER 2 TAPIS AU ","","FALSE","","","","","","TRUE","TRUE","FALSE","TRUE","jvenne@deloitte.ca","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","","","  41 444 ","5877","  47 321 ","20348,03","18928,4"," $ 39 276,43 ","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2830","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","  765 ","","1311-ET","Caserne place d'Youville","335 Place d'Youville, Montréal","","15 avr.","11-16h","Isabelle","OUI - Peux-tu le faire en même temps que le musée ?","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2839","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","1246","","1317-ET","Allied - 700 rue St-Hubert","700 rue St-Hubert, Montréal","","3 mai","11h30-13h","Dario Ercolano  514-868-9002","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","dercolano@alliedreit.com","","","","","","","","","","","","","","","","","","","","",""
"Condo","","TRUE","FALSE","2821","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","  4 626 ","","1306-ET","SDC 6150 du Boisé","6150 du Boisé","","5 avril","7h45-13h45","Liuba Chilaru  514-340-1582","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","6150duboise@bellnet.ca","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2830","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","  4 469 ","","1313-ET","Le Nordelec","1751, rue Richardson","","15 avril","17-21h","Jason Campbell  514-868-9002","TOUTES LES TAPIS D'HIVER SUR PLACE","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","jcampbell@alliedreit.com","","","","","","","","","","","","","","","","","","","","",""
"Édifice","","TRUE","FALSE","2831","FALSE","TRUE","FALSE","2916","TRUE","TRUE","","","5393","1307-ET","1001 Robert-Bourrassa","700, rue de la Gauchetière","","21 avril","11-21h","Shona Tep","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","step@alliedreit.com","","","","","","","","","","","","","","","","","","","","",""
