"  ","FAC/DEVIS _ ASP_Réinstallation  ","Réinstallation ","FAC/DEVIS _ ASP_retrait ","Rebut ","Retrait ","FAC/DEVIS _ ASP_nett+entreposage ","entreposage ","Nettoyer entrepôt "," Moulures  "," PC  "," Carreaux  "," # Projet "," Noms "," Adresse ","Ville ","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation ","Heures ","Contact sur place ","Commentaires - Printemps 2025 ","Commentaires - Automne 2024 ","Commentaires - printemps 2024 ","Commentaires - Automne 2023 ","Commentaires - Printemps 2023 ","Code Postal ","Pickup fait ","pickup/ref ","Nbr gars ","H/ins  ","moulure  "," Moulure à changer  ","Courriel envoyé ","Confirmation ","Confirmation des dates de RDV ","Courriel ","","Commentaires - Automne  2024 ","Détail des tapis ","Fact # ","Nettoyer ","Payer  ","Sola Facture  ","Ajustement à faire ","Date prévue ","Fait ","","","","","","","","","","","",""
"Édifice","","FALSE","3129","TRUE","TRUE","","FALSE","FALSE","","  4 425 ","","1183-ET","Gare Windsor","1100 av Des canadiens ","Montreal ","avr. 13","12h-22h","SERVICE D'ENTRETIEN POUR LES ÉTAGES","ENLÈVEMENT ET DISPOSITION DU TAPIS RDC SEULEMENT (installation neuve à l'automne)","","","bureaux du 3ieme et 4ieme  de la gare Windsor nous n'avons pas pu les installer,  aucun agent de sécurité disponible pour nous   Manque ascenseur #4. Petit très usé  - Devant les portes du lobby du 1160 Avenue-des-canadiens-de-Montréal / les poches d'air empêchent les portes d'ouvrir et accroche, ce qui fait que le tapis ne va pas durer longtemps / dans la cabine d'ascenseur no.6, le tapis n'a pas été installé - 900 peel manque tapis #2 / Complété sauf intérieur bureau 910 peel 3ieme et 4ieme étage,  pas de gardien disponible.  ","(4510pc réinstallation) CRÉDIT NC-10 - 85pc de moins niveau 1 jamais installé  910 peel ASCENSEUR 6 Hors d'usage,  pas pu retirer le tapis","","FALSE","","2","6","","","FALSE","FALSE","TRUE","elliott.parsons@cadillacfairview.com","","13 nov : 900 Peel, pointe du tapis décollé / 910 Peel, pointe de tapis décollé et tapis mal installé et trop long / 1100 av. des Canadiens, ascenseurs 2,3 n'ont pas de tapis. / 1160 av. des Canadiens, tapis mal installé et trop long et il manque un tapis. / Les ascenseurs 5,6,7 manquent les tapis. / niveau 3 suite 300 manque le tapis. / Niveau 4 suite 400 manque le tapis. / Niveau 4 suite 450 manque le tapis. / Niveau 5 manque le tapis. / Niveau 9 suite 900 manque le tapis.  -- ascenseur #8 1100 des canadiens hors d'usage, pas installé. Tapis #8 1160 des Canadiens","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","3132","FALSE","TRUE","","FALSE","FALSE","","  2 446 ","","0690-ET","Lilo","105, boul. Don Quichotte","Île Perrot","avr. 18","7h45-10h45","","ENLÈVEMENT ET DISPOSITION DU TAPIS (installation neuve à l'automne)","","","manque les 3 tapis d’ascenseurs.","","J7V 6X2","FALSE","","3","3","","","TRUE","FALSE","TRUE","cse@residencelilo.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3138","FALSE","TRUE","","FALSE","FALSE","200","  5 654 ","","1309-ET","upa longeuil ","555, boul. Rolan-Therrien","Longueuil","avr. 29","17h30-22h","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","hcharbonneau@upa.qc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3164","FALSE","TRUE","","FALSE","FALSE","50","  640 ","","1227-ET","Édifice SunLife  21e étage","1155, rue Metcalfe","Montréal","avr. 25","13h-16h30","","","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","","FALSE","","","4","","","TRUE","FALSE","TRUE","Lucie.Richard@bentallgreenoak.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3164","FALSE","TRUE","","FALSE","FALSE","","  2 140 ","","1227-ET","Édifice SunLife 7e,  8e, 9e, 23,","1155, rue Metcalfe","Montréal","avr. 25","13h-16h30","","","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","","FALSE","","","4","","","TRUE","FALSE","TRUE","Lucie.Richard@bentallgreenoak.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","950","","5393","1307-ET","1001 Robert-Bourrassa","700, rue de la Gauchetière","",""," 10h-18h","","Pas pu retirer tapis ascenseurs A,H,G,F,M,N,P,J hors d'usage car ils changent les panneaux de contrôle à l'intérieur.","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","jcampbell@alliedreit.com","","reste 3 corridors des ascenseurs Guylaine doit commander des tapis","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Bureau","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","","  360 ","638","1321-ET","Gestion Sandanna","1, Westmount Square, bureau 2000","Montréal","avr. 2","6h-8h","","ENTRE 6H00 ET 7H00 LE MATIN (confirmé pour le 2 avril)","","à partir de 6h00 am","","","","FALSE","","2","2","","","TRUE","TRUE","FALSE","nbecot@peloquinkattan.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","","  3 203 ","","1201-ET","Usine Atwater","999, rue Dupuis","Verdun","3 avril","7h-14h30","","Remplir le formulaire demande d'autorisation d'accès du Site - OBLIGATOIRE","","","Manque tapis porte 28 #1 (long tapis de vinyle 50 pieds )","À FAIRE ENTRE LE 17 ET 28 AVRIL","H4G 3L4","FALSE","","2","4","","","TRUE","TRUE","FALSE","jean-marc.ouellet@montreal.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","","  891 ","","1181-ET","Ville de Montréal","3705, rue Saint-Patrick","Montréal","3 avril","15h-17h","","Remplir le formulaire demande d'autorisation d'accès du Site - OBLIGATOIRE","","","","À FAIRE ENTRE LE 17 ET 28 AVRIL","H4E 1A1","FALSE","","2","2","","","TRUE","TRUE","FALSE","jean-marc.ouellet@montreal.ca; marc-andre.lecuyer@montreal.ca","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","","1246","","1317-ET","Allied - 700 rue St-Hubert","700 rue St-Hubert","Montréal","avr. 4","12h-13h","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","TRUE","FALSE","dbai@alliedreit.com","","pas pu installer le 2ieme étage (pas de contact, pas d'accès sans puce ni par les escaliers) Tapis à l'entrepôt.","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
