"dd","FAC/DEVIS _ ASP_Réinstallation ","Réinstallation","FAC/DEVIS _ ASP_retrait","Rebut","Retrait","FAC/DEVIS _ ASP_nett+entreposage","entreposage","Nettoyer entrepôt"," TAPE VERT "," Moulures "," PC "," Carreaux "," # Projet"," Noms"," Adresse","Ville","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation","Heures","Contact sur place","Code Postal","Commentaires - Automne 2025","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","Pickup fait","pickup/ref","Nbr gars","H/ins ","moulure "," Moulure à changer ","Courriel envoyé","Confirmation","Confirmation des dates de RDV","Courriel","","Commentaires - Automne  2024","Détail des tapis","Fact #","Nettoyer","Payer ","Sola Facture ","Ajustement à faire","Date prévue","Fait","","","","","","","","","","","",""
"Condo","","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 439 ","","1196-ET","SDC La chancellerie du Vieux-Montréal","460, rue du Champ de Mars","Montréal","28 novembre","7h-12h","","H2Y 1B4","EN ATTENTE DU CLIENT POUR LA RÉINSTALLATION OU NOUVELLE INSTALLATION","","","","","Code de la boîte à clés 2140 autre boite 5286","FALSE","","2","4","","","TRUE","FALSE","FALSE","gnuckle@lecsor.com","","1025 code du lock box fournisseur","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","","TRUE","3209","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  536 ","","1286-ET","CEOM (suite 100-145)","4650, desserte S, Autoroute 440","Laval","7 octobre","7h-12h","","H7T 2Z8","Nouvelle installation "," 4650 déserte +4670 déserte suite 110. 15:00 à 16:00
***** le 4670 n'était pas à l'horaire mais confirmé avec cliente et Guylaine,  total 230 pieds carrés ****   // charge 3176  CRÉDITER SUR FATURE 3187 _ les tapis ont ete retirer a la suite reno , ne sais ou sont les tapis ","","","Impossible de faire , j'ai parler avec le gestionnaire, il préfère en fin d'après midi . C'est un immeuble médical, beaucoup de circulation. Il est d'accord pour une surcharge pour le changement d'horaire, mohamed vas le faire se soir seul .","Entreposage seulement","FALSE","","","","","","TRUE","FALSE","TRUE","gestionnaire.clinique@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Résidences","3380","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 628 ","","1184-ET","Le Savignon","3111, rue Victoria","Lachine","17 octobre","7h-12h","","H8S 0B1","Manque tapis asc 3","","","","5 oct 23 : Seul les sorties d'urgence ont pu être installés car le plancher était plein de savon et il y a avait un évènement à la réception. Tapis laissés au garage intérieur _ Prévoir moulures il en manque beaucoup _ Manque tapis ascenseur 1,3,5 _ Tapis #11 (devant les ascenseur) non installés car la directrice générale à vu une grosse tache ronde, je lui ai montré que c'est de l'usure.","Philippe Croteau 514-634-4646","FALSE","","","","","","TRUE","FALSE","TRUE","cse@lesavignon.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3380","TRUE","3129","TRUE","TRUE","","FALSE","FALSE","FALSE","","  1 031 ","","1183-ET","Gare Windsor - Etages (Niveau 1-3-4-5-9)","1100 av Des canadiens ","Montreal ","","","SERVICE D'ENTRETIEN POUR LES ÉTAGES","","","ENLÈVEMENT ET DISPOSITION DU TAPIS RDC SEULEMENT (installation neuve à l'automne)","","","bureaux du 3ieme et 4ieme  de la gare Windsor nous n'avons pas pu les installer,  aucun agent de sécurité disponible pour nous   Manque ascenseur #4. Petit très usé  - Devant les portes du lobby du 1160 Avenue-des-canadiens-de-Montréal / les poches d'air empêchent les portes d'ouvrir et accroche, ce qui fait que le tapis ne va pas durer longtemps / dans la cabine d'ascenseur no.6, le tapis n'a pas été installé - 900 peel manque tapis #2 / Complété sauf intérieur bureau 910 peel 3ieme et 4ieme étage,  pas de gardien disponible.  ","(4510pc réinstallation) CRÉDIT NC-10 - 85pc de moins niveau 1 jamais installé  910 peel ASCENSEUR 6 Hors d'usage,  pas pu retirer le tapis","FALSE","","2","6","","","FALSE","FALSE","FALSE","claudiu.avram@cadillacfairview.com","","13 nov : 900 Peel, pointe du tapis décollé / 910 Peel, pointe de tapis décollé et tapis mal installé et trop long / 1100 av. des Canadiens, ascenseurs 2,3 n'ont pas de tapis. / 1160 av. des Canadiens, tapis mal installé et trop long et il manque un tapis. / Les ascenseurs 5,6,7 manquent les tapis. / niveau 3 suite 300 manque le tapis. / Niveau 4 suite 400 manque le tapis. / Niveau 4 suite 450 manque le tapis. / Niveau 5 manque le tapis. / Niveau 9 suite 900 manque le tapis.  -- ascenseur #8 1100 des canadiens hors d'usage, pas installé. Tapis #8 1160 des Canadiens","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","3380","TRUE","3132","FALSE","TRUE","3192","FALSE","FALSE","FALSE","","  890 ","","1312-ET","Place Victoria (tapis de pluie retrait )","800, rue du Square Victoria","Montréal","7 novembre","16 - 22 h","","","","Personne sur place : Agents de sécurité (Sinon : Jennifer au 514-966-7588)
Stationnement : il y a un stationnement intérieur payant pour les voitures des travailleurs. Sinon, une place est réservée au quai de marchandises pour le camion pour samedi (svp préciser les heures) Hauteur maximale quai 11 pi 4 po.","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","jtousignant@groupepetra.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","3356","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  446 ","","1288-ET","CHSLD Val des Brises","3155, boul. Michel-Ange","Laval","8 octobre","12h-17h","","H7E 0J1","moulure trop user pour être installer","","","","","","","","","","","","TRUE","FALSE","TRUE","mclavoie@alcovicapital.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3356","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","950","","5393","1307-ET","1001 Robert-Bourrassa","700, rue de la Gauchetière","","25 octobre","7h-17h","","","Asc bloquer asc e k b et les deux asc de ss fait et tout les autres on été désinstaller par le client donc pas numéroté","Pas pu retirer tapis ascenseurs A,H,G,F,M,N,P,J hors d'usage car ils changent les panneaux de contrôle à l'intérieur.","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","jcampbell@alliedreit.com","","reste 3 corridors des ascenseurs Guylaine doit commander des tapis","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","3356","TRUE","3138","FALSE","TRUE","3235","TRUE","TRUE","FALSE","","  918 ","","1175-ET","Allied - Atlantic","400, rue Atlantic","Outremont","28 octobre","12h-17h","","H2V 1A5","*** manque tapis asc2****","Personne responsable sur place ou code d'accès   INTERCOM :  la touche no 2---- Luis Tampan 514-206.7118
Avons-nous accès à un stationnement  non",""," Tapis à jeter "," Tapis du café laissés sur place, il n'y a plus de restaurant. "," 918 ou 1601 ","FALSE","","2","1","","","TRUE","FALSE","TRUE","lbeaulieu@alliedreit.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Commerce","3356","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  957 ","","1333-ET +1332-ET","West Spa (+pas mettre sur facture Salon Augustin - ) - Salon Augustin","4655 Boul St-Jean, suite 202","Montréal","2 décembre","12h-17h","","","","","","A FAIRE   ADRESSE COURRIEL À VÉRIFIER","","","FALSE","","2","2","","","TRUE","FALSE","FALSE","nemco@bell.net","","L’ascenseur n’a pas pu être installé étant donné qu’il était hors service.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","3356","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  360 ","638","1321-ET","Gestion Sandanna","1, Westmount Square, bureau 2000","Montréal","24 novembre","7h-12h","","","****manque tapis vinyles ****","ENTRE 6H00 ET 7H00 LE MATIN (confirmé pour le 2 avril)","","à partir de 6h00 am","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","nbecot@peloquinkattan.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3356","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  460 ","","1290-ET","Coop Montagne verte ","1285, St-Jacques","Montreal","27 novembre","12h-17h","","","***** manque tapis sous sol et asc1.. ****","","","Ils ont oublié ceux du Sous-sol a la sortie des ascenseurs près du garage","","","","","","","","","TRUE","FALSE","TRUE","entretien@coopmontagneverte.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3356","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  526 ","","1247-ET","TAK Phase 6 ","4801, 2e avenue","Montréal","9 octobre","12h-17h","","","les tapis du sous-sol de la phase 6, située au 4801 2e Avenue à Montréal, n’ont pas encore été installés.","","","","","","FALSE","","","","","","TRUE","FALSE","TRUE","alexandre.srougi@solutioncondo.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","3356","TRUE","","","","","","","","","  2 019 ","","1372-ET","Google","425 Viger O, 8-9-10-11-12-13e étages","MONTREAL","1 décembre","12-22h","","","Étages Google : Environ 40 tapis non identifiés et roulés à l'envers, j'ai seulement installé l'étage #8 (probablement avec les mauvais tapis) le reste des tapis ont été roulés du bon côté, sans aide de la personne qui a désinstallé les tapis , prévoir un rendez-vous d'environ 4 ou 5 heures pour démêler le tout et faire l'installation.27 jan 2025 réinstallation 10858-F feuille de pose 6h à 80$/h","","","","","","","","","","","","FALSE","FALSE","FALSE","fournierg@xwf.google.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3356","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","35","  606 ","","1342-ET","SDC Condo Rêve","4975 rue Jean-Talon Ouest","Outremont","2 décembre","12h-17h","","","","Luc Vincelette : (438) 778-7076","","","","","","","","","","","TRUE","FALSE","TRUE","edeloffre@sergicquebec.ca ","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Résidences","3266","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","165","  1 246 ","","1310-ET","Résidence du marché","25, rue du Marché","Ste-Thérèse","6 octobre","7h-12h","","J7E 5T2","","contacter Louis Philippe ou Yvon : 450-433-6544","","","","","FALSE","","2","3","","","TRUE","FALSE","TRUE","cse@lesresidencesdumarche.com","","1080pc pas bon - neuf feuille de po 1246 pc","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","78","  760 ","","1327-ET","CCRL Laurentides","325 Rue du Docteur-Charles-Léonard, ","St-Jérôme","6 octobre","12h-17h","","","","Marie-Gabrielle Beaudry : 514-293-9923 : Stationnement payant sur place","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","mgbeaudry@ccrlaurentides.com;mcroizer@ccrlaurentides.com","","manque un tapis à installer au deuxième étage","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3209","FALSE","TRUE","3236","TRUE","TRUE","FALSE","75","  695 ","","1369-ET","CMCL (clinique médico-chirurgicale des Laurentides","305 rue Docteur Charles-Léonard #204","St-Jérôme","6 octobre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","mgbeaudry@ccrlaurentides.com;mcroizer@ccrlaurentides.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  528 ","","0968-ET","Clinique Chirurgicale de Laval","4650, desserte S, Autoroute 440","Laval","7 octobre","7h-12h","","H7T 2Z8","","","","Tapis arrière n'a pas été enlevé car trop de choses dessus","Surcharge de 25$ par client pour changement d'horaire fait le même jour","Tapis déjà lavé et roulé, seulement les entreposer.","FALSE","","1","1","","","TRUE","FALSE","TRUE","gestionnaire.clinique@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Bureau","3266","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  196 ","","1354-ET","Clinique Dr. Barolet","3333, 100e Avenue, 2e étage","Laval","7 octobre","7h-12h","","","","TRES TÔT LE MATIN OU LE VENDREDI EN APRÈS-MIDI","","","","","","","","","","","TRUE","TRUE","TRUE","gestionnaire.clinique@gmail.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Bureau","3266","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  728 ","","1353-ET","Clniique Dr. Lacoste","3333, 100e Avenue, 3e étage","Laval","7 octobre","7h-12h","","","COMMENCER PAR LE 3e ÉTAGE parce que la clinique ouvre à 8h00","","","","","","","","","","","","TRUE","TRUE","TRUE","gestionnaire.clinique@gmail.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3266","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  262 ","","1352-ET","Edifice 3333 100e Avenue","3333, 100e Avenue, RDC","Laval","7 octobre","7h-12h","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","gestionnaire.clinique@gmail.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3209","FALSE","TRUE","3236","TRUE","TRUE","FALSE","10","  318 ","","1368-ET","CEOM","4670, desserte Sud 440, local 110","Laval","7 octobre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","daniele.lanthier@cmslaval.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice médical","3266","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  1 080 ","","1341-ET","CSSL (Horizon-Jeunesse)","155 boulevard St-Rose, Laval","Laval","8 octobre","7h-12h","","","","Entrée 10,11, 12 et tapis devant les casiers seulement ","","","","","","","","","","","TRUE","FALSE","TRUE","jfcloutier@csslaval.gouv.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
